,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,steer,timestamp,turn
0,1.379,0.114,0.042,40.65414,-73.79222,-0.1291,0.2594,0.079,5.7781196,-9.68771,0.0,1490193265655,0
1,1.2242658,0.15546665,-0.12826589,40.65414,-73.79222,-0.02944002,0.06708169,-0.007141766,5.7781196,-9.68771,0.0,1490193265988,0
2,1.017333,0.016399927,0.10933313,40.65414,-73.792206,0.01941977,-0.02459162,0.056226794,5.7355266,-9.616298,0.0,1490193266321,0
3,1.05075,0.066,0.0555,40.65414,-73.79218,-0.01495,0.0423,-0.00925,5.6876693,-9.536058,-2.5189922e-06,1490193266655,0
4,0.92508346,-0.00033310548,0.12274994,40.65414,-73.79216,0.025516583,-0.04293334,0.024016712,5.639812,-9.45582,0.0,1490193266988,0
5,0.9419167,0.02133335,0.08725004,40.654057,-73.79214,-0.014950086,-0.0241499,0.021399986,5.5053434,-9.230368,0.0,1490193267321,0
6,1.0405,-0.0163,0.0899,40.654057,-73.79212,0.066075,0.026935,-0.011265,5.3604975,-8.987516,2.5189922e-06,1490193267655,0
7,0.9956002,-0.014833435,0.067133226,40.654057,-73.7921,0.068647176,-0.04566529,-0.044048533,5.2156506,-8.744663,0.0,1490193267988,0
8,1.1137323,-0.012700403,0.079167545,40.65398,-73.792076,0.15188555,0.07436757,-0.047548365,5.0325174,-8.437618,-2.5189922e-06,1490193268321,0
9,1.1567,-0.01535,-0.0066,40.65398,-73.79206,0.0729,0.10066,-0.01154,4.8445063,-8.1223955,2.5189922e-06,1490193268655,0
10,0.9102502,0.08043347,0.07163367,40.65398,-73.79204,-0.005966797,-0.15301317,0.06371996,4.6564956,-7.8071723,-2.5189922e-06,1490193268988,0
11,0.99738324,-0.02636692,-0.004116858,40.653904,-73.79202,0.01692661,-0.01429323,0.0048733107,4.4321947,-7.431106,2.5189922e-06,1490193269321,0
12,1.1072,-0.1618,-0.0784,40.653904,-73.79201,0.086485,0.10402,-0.082355,4.203409,-7.0475187,-2.5189922e-06,1490193269655,0
13,0.95826685,0.03806654,-0.06326677,40.653904,-73.79199,0.04321386,-0.0009220056,-0.004631886,3.9746234,-6.663933,2.5189922e-06,1490193269988,0
14,0.9742164,-0.009549915,-0.031949963,40.653843,-73.79198,0.06630974,-0.08147988,-0.031989902,3.6789563,-6.168211,0.0,1490193270321,0
15,0.9744,0.0196,-0.0178,40.653843,-73.79196,0.02147,-0.03599,0.01282,3.3710213,-5.6519213,0.0,1490193270655,0
16,1.01265,-0.0106667485,-0.051416688,40.653843,-73.791954,0.02815675,-0.027273394,-0.009523314,3.0630865,-5.1356316,0.0,1490193270988,0
17,1.0253334,0.0011665893,-0.013333252,40.65379,-73.79194,0.028983342,-0.016008295,0.0063749743,2.7405772,-4.594906,-2.5189922e-06,1490193271321,0
18,1.0085,0.049,-0.0725,40.65379,-73.79193,0.0208,-0.0203,-0.006475,2.4161558,-4.050975,2.5189922e-06,1490193271655,0
19,1.0348332,-0.017333277,-0.11850004,40.65379,-73.79192,0.010008346,0.0073165554,0.016441705,2.0917344,-3.5070431,-2.5189922e-06,1490193271988,0
20,0.9897167,0.05365001,-0.12253335,40.653755,-73.791916,-0.0011199609,-0.039593283,0.021373307,1.6906402,-2.8345609,2.5189922e-06,1490193272321,0
21,1.0067,0.02255,-0.12445,40.653755,-73.79191,0.00394,-0.04018,0.02162,1.2794852,-2.1452103,-2.5189922e-06,1490193272655,0
22,1.0248333,0.017916687,0.09324994,40.653755,-73.79191,0.03411327,0.03131333,-0.0021666505,0.8683304,-1.4558599,0.0,1490193272988,0
23,0.96786666,0.017199988,0.1722,40.653736,-73.79191,0.0202,-0.016341632,0.008313321,0.8308729,-1.393058,0.0,1490193273321,0
24,0.9882,0.0442,0.1608,40.653736,-73.7919,0.00249,-0.027305,-0.001235,0.84974957,-1.424707,2.5189922e-06,1490193273655,0
25,1.0039333,0.04680011,0.17386657,40.653736,-73.7919,-0.017196741,0.006391632,-0.004094989,0.86862624,-1.456356,0.0,1490193273988,0
26,0.96268344,0.061716735,0.28143322,40.65372,-73.79189,-0.016070344,-0.026766283,-0.006123236,1.0234194,-1.7158854,2.5189922e-06,1490193274321,0
27,0.99975,0.05665,0.26265,40.65372,-73.79189,-0.07067,0.01601,-0.02116,1.1960477,-2.0053172,-2.5189922e-06,1490193274655,0
28,0.9401169,0.11656648,0.27295,40.65372,-73.791885,-0.14734986,-0.045906417,-0.007870109,1.368676,-2.2947493,0.0,1490193274988,0
29,0.9821999,0.15706655,0.3031667,40.653706,-73.79188,-0.1960216,-0.023101762,-0.03012667,1.6289945,-2.7312045,0.0,1490193275321,0
30,0.94,0.1615,0.3336,40.653706,-73.79187,-0.22602,-0.04902,-0.03518,1.9004841,-3.1863894,0.0,1490193275655,0
31,0.9983002,0.20830008,0.23579991,40.653706,-73.79186,-0.3075334,-0.012021525,-0.05897337,2.1719737,-3.6415744,0.0,1490193275988,0
32,0.93358326,0.23591661,0.14350003,40.65368,-73.791855,-0.35209996,-0.048466753,-0.013733341,2.981694,-3.1730957,-12.405328,1490193276321,2
33,0.97525,0.20075,0.16375,40.65368,-73.79185,-0.3522,-0.0213,-0.078,3.859982,-2.5869467,-12.951353,1490193276655,2
34,0.9516845,0.29284224,0.25057888,40.65368,-73.79184,-0.3899568,-0.049811453,-0.058329996,4.7382703,-2.0007975,-10.93731,1490193276988,2
35,0.97446656,0.19646677,0.23799995,40.653652,-73.79181,-0.38915166,-0.033021744,-0.1236,5.0022044,-0.4807555,-17.402784,1490193277321,2
36,0.9646,0.3136,0.211,40.653652,-73.79178,-0.40165,-0.066995,-0.06605,5.1878724,1.1582592,-18.075375,1490193277655,2
37,0.94721675,0.32236657,0.17373364,40.653652,-73.79174,-0.42396316,-0.08818002,-0.020410113,5.3735404,2.797274,-14.914271,1490193277988,2
38,0.97378325,0.23506661,0.224,40.65366,-73.79171,-0.28686002,-0.01617667,-0.017459966,5.67513,3.1812234,-1.7731527,1490193278321,4
39,0.97265,0.2062,0.2669,40.65367,-73.79169,-0.25446,-0.00057,-0.03918,5.9955907,3.3608594,0.0,1490193278655,0
40,0.9338001,0.1908332,0.2816335,40.653683,-73.79166,-0.18054822,-0.0012248963,-0.018660087,6.3160515,3.5404952,1.6330546e-06,1490193278988,0
41,0.93653333,0.19766675,0.2710998,40.653694,-73.79163,-0.1989268,-0.084608145,-0.05293668,6.7027655,3.7572699,-1.6330546e-06,1490193279321,0
42,0.9463,0.1152,0.2966,40.653706,-73.7916,-0.13162,-0.0171,-0.00629,7.097419,3.978495,0.0,1490193279655,0
43,0.9452165,0.050766677,0.28331664,40.653717,-73.79158,-0.05376002,-0.030680155,-0.0038533167,7.492072,4.1997194,3.266109e-06,1490193279988,0
44,1.0022168,0.047416687,0.28749987,40.653732,-73.79154,-0.005386567,0.007440194,0.012853297,7.8020496,4.3734794,-3.266109e-06,1490193280321,0
45,1.03115,0.0065,0.2213,40.653744,-73.79151,-0.00086,-0.01604,0.00374,8.10124,4.541192,0.0,1490193280655,0
46,0.8766671,-0.022333082,0.25600004,40.65376,-73.79148,0.01540847,-0.029058307,0.010749895,8.40043,4.7089043,1.6330546e-06,1490193280988,0
47,0.9423327,0.15066524,0.27166653,40.653774,-73.79144,-0.033817064,-0.03475819,0.061816856,8.683717,4.8677025,-1.6330546e-06,1490193281321,0
48,0.878,-0.107,0.319,40.65379,-73.79141,0.0944,-0.1208,-0.010525,8.964916,5.0253305,-1.6330547e-06,1490193281655,0
49,0.9840998,0.05243308,0.24110007,40.653805,-73.791374,0.0069834413,-0.0052201245,0.010823214,9.246117,5.1829586,1.6330547e-06,1490193281988,0
50,0.9337833,-0.0015333496,0.25321648,40.65382,-73.79134,0.040576648,0.029386623,0.017790025,9.500948,5.325805,1.6330546e-06,1490193282321,0
51,0.96657896,0.018578947,0.21047369,40.653835,-73.791306,0.00524,-0.04138,0.00275,9.75201,5.46654,-1.6330546e-06,1490193282655,0
52,0.94406664,0.03069989,0.18493347,40.65385,-73.79126,0.00085829466,-0.020958368,0.017128302,10.003073,5.607275,-3.2661096e-06,1490193282988,0
53,0.9124666,-0.08673384,0.09750006,40.65387,-73.79122,0.04397992,-0.081286535,-0.005480044,9.876852,5.5365214,0.0,1490193283321,0
54,1.06285,0.02225,0.01205,40.653885,-73.79118,0.01864,0.05256,-0.03302,9.702567,5.4388247,1.6330548e-06,1490193283655,0
55,0.98470014,0.06471639,-0.037133448,40.653904,-73.791145,-0.00047334106,-0.025699854,-0.013940064,9.528282,5.341128,1.6330547e-06,1490193283988,0
56,1.0610664,0.065282896,-0.046666503,40.65392,-73.79111,0.01828703,0.032986633,-0.02028678,9.008412,5.049712,0.0,1490193284321,0
57,0.9416,0.0968,-0.0818,40.653934,-73.79108,0.023785,-0.083125,0.00894,8.443195,4.732877,0.0,1490193284655,0
