,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,timestamp
0,-0.999,0.004,0.007,40.700653,-73.96197,-0.0123,-0.0468,-0.0044,-0.0,-0.0,1490306845054
1,-0.994,0.004587268,0.004825464,40.700653,-73.96197,-0.011175995,-0.048775993,0.00024946898,-0.0,-0.0,1490306845087
2,-0.997,0.003924548,0.005,40.700653,-73.96197,-0.011052997,-0.045318555,0.0005960999,-0.0,-0.0,1490306845120
3,-0.9947854,0.0037381835,0.0064763674,40.700653,-73.96197,-0.0123,-0.047022372,-0.002682002,-0.0,-0.0,1490306845153
4,-0.9940045,0.0025990966,0.0061981934,40.700653,-73.96197,-0.011622891,-0.048365213,-0.00042289062,-0.0,-0.0,1490306845187
5,-1.0017455,0.003,0.007809094,40.700653,-73.96197,-0.013660002,-0.044439998,-0.0033,-0.0,-0.0,1490306845220
6,-0.99436814,0.003,0.0028208985,40.700653,-73.96197,-0.012461992,-0.046755116,-0.0026690038,-0.0,-0.0,1490306845253
7,-0.999,0.0022588822,0.0058883233,40.700653,-73.96197,-0.011479988,-0.04753698,-0.004128497,-0.0,-0.0,1490306845286
8,-0.99599093,3.6376953e-06,0.0049927244,40.700653,-73.96197,-0.013727999,-0.04841964,0.00027381958,-0.0,-0.0,1490306845320
9,-0.99698097,0.0013354492,0.0029936524,40.700653,-73.96197,-0.010965557,-0.047666874,0.0007033301,-0.0,-0.0,1490306845353
10,-1.0033636,0.0023272706,0.0076727294,40.700653,-73.96197,-0.013440005,-0.039541807,-0.0033,-0.0,-0.0,1490306845386
11,-0.99307,0.003,0.007990003,40.700653,-73.96197,-0.0113,-0.049016017,0.0002880127,-0.0,-0.0,1490306845419
12,-0.9932636,0.0039581666,0.0108745,40.700653,-73.96197,-0.011293438,-0.049518567,-0.003392694,-0.0,-0.0,1490306845453
13,-1.0035837,0.0003154541,0.0071072755,40.700653,-73.96197,-0.0144165475,-0.041581906,-0.005318093,-0.0,-0.0,1490306845486
14,-0.9871527,0.002956372,0.001043628,40.700653,-73.96197,-0.011270195,-0.050394386,0.000578186,-0.0,-0.0,1490306845519
15,-0.99705,0.0067181885,0.006922717,40.700653,-73.96197,-0.011290899,-0.044259094,-0.0036567932,-0.0,-0.0,1490306845552
16,-1.0020527,0.002089087,0.006356348,40.700653,-73.96197,-0.013503274,-0.03623856,-0.0044,-0.0,-0.0,1490306845586
17,-0.9958991,0.0019327393,-6.726074e-05,40.700653,-73.96197,-0.01306726,-0.0468,-0.00086824095,-0.0,-0.0,1490306845619
18,-0.99174184,0.0032581787,0.0045163576,40.700653,-73.96197,-0.011561998,-0.048162,-0.001179823,-0.0,-0.0,1490306845652
19,-1.0006264,0.0034163573,0.007,40.700653,-73.96197,-0.0123,-0.046817176,-0.0032656493,-0.0,-0.0,1490306845685
20,-1.0022273,9.0917965e-05,0.004136377,40.700653,-73.96197,-0.012680005,-0.04104907,-0.004745459,-0.0,-0.0,1490306845719
21,-0.98676544,0.002617273,0.005234546,40.700653,-73.96197,-0.010533727,-0.057135727,-0.0005337268,-0.0,-0.0,1490306845752
22,-1.00256,0.0022800048,0.00887998,40.700653,-73.96197,-0.012334016,-0.041753937,-0.0042940257,-0.0,-0.0,1490306845785
23,-0.99551547,0.0011145507,0.0031718262,40.700653,-73.96197,-0.0113,-0.04266316,-0.003736284,-0.0,-0.0,1490306845818
24,-0.98902726,0.0041836305,0.006,40.700653,-73.96197,-0.011269454,-0.051,0.0017170826,-0.0,-0.0,1490306845852
25,-0.99560905,0.0032681762,0.0043408815,40.700653,-73.96197,-0.0123618115,-0.045868665,-0.0001350061,-0.0,-0.0,1490306845885
26,-1.0,0.0021381837,0.0061381836,40.700653,-73.96197,-0.011236909,-0.045293998,-0.004218906,-0.0,-0.0,1490306845918
27,-1.001219,0.0024063599,0.007,40.700653,-73.96197,-0.014266712,-0.046930987,-0.0052373474,-0.0,-0.0,1490306845951
28,-0.9962309,0.0047436403,0.007718201,40.700653,-73.96197,-0.010248004,-0.045651995,-0.0022,-0.0,-0.0,1490306845985
29,-0.9976764,0.0030809082,0.0049190917,40.700653,-73.96197,-0.011981001,-0.0436,-0.0011619092,-0.0,-0.0,1490306846018
30,-0.9947636,0.002,0.0064181765,40.700653,-73.96197,-0.012371818,-0.04430367,-0.0019181763,-0.0,-0.0,1490306846051
31,-0.991,0.0015109131,0.0057772826,40.700653,-73.96197,-0.011355457,-0.0489,0.0017280848,-0.0,-0.0,1490306846084
