,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,timestamp,linear_speed,steer
0,-1.103,-0.085,-0.128,37.83169,-122.278076,0.0371,-0.0646,0.0013,-3.3458376,-10.890448,1490464734308,11.392826115,0.0
1,-0.956895,-0.060716603,-0.13164145,37.83169,-122.278076,0.034473952,0.17223985,-0.01444126,-3.3419547,-10.869344,1490464734341,11.3715126613,0.0
2,-0.8064422,-0.16850848,-0.14058124,37.83169,-122.278076,0.059448916,0.1067199,-0.14845435,-3.3380713,-10.848239,1490464734374,11.3501986505,0.0
3,-1.0242728,-0.081447996,-0.1668952,37.83169,-122.278076,0.056533094,-0.09104348,0.060289532,-3.334188,-10.827135,1490464734407,11.3288861733,0.0
4,-0.99667895,-0.095077835,-0.060138293,37.83169,-122.278076,0.09441219,-0.0036380712,0.02615401,-3.3303046,-10.80603,1490464734441,11.3075732626,0.0
5,-1.098934,-0.0847839,-0.14361583,37.83169,-122.278076,-0.00013721436,-0.15001096,0.035835817,-3.3264213,-10.784925,1490464734474,11.2862609362,0.0
6,-1.0393432,-0.09084961,-0.1484336,37.83169,-122.278076,0.04911857,0.06669933,0.05398242,-3.322538,-10.763821,1490464734507,11.2649501233,0.0
7,-0.97507244,-0.068240024,-0.2020317,37.83169,-122.278076,0.06981139,-0.015000595,-0.06776875,-3.3186545,-10.742716,1490464734541,11.243638857,0.0
8,-1.0519218,-0.10560218,-0.20096636,37.83169,-122.278076,0.03422445,-0.09947657,0.058659498,-3.3147712,-10.721611,1490464734574,11.222328214,0.0
9,-1.0586624,-0.075,-0.16425765,37.83169,-122.278076,0.060390797,0.006445198,0.053192105,-3.310888,-10.700507,1490464734607,11.2010191235,0.0
10,-0.9011041,-0.06700537,-0.11500134,37.83169,-122.278076,0.08920229,0.090819545,-0.030774685,-3.3070047,-10.679402,1490464734640,11.1797096189,0.0
11,-1.058046,-0.09813661,-0.1662207,37.83169,-122.278076,-0.0142469825,-0.17238244,0.008677605,-3.3031213,-10.658298,1490464734674,11.158401614,0.0
12,-1.0274025,-0.04339795,-0.11891318,37.83169,-122.278076,0.10846123,0.045052245,0.07039658,-3.2992377,-10.637193,1490464734707,11.1370931719,0.0
13,-0.99548435,-0.121794924,-0.1379707,37.83169,-122.278076,-0.002385547,-0.06258551,-0.040893126,-3.2953546,-10.616088,1490464734740,11.1157854587,0.0
14,-0.96895534,-0.07818139,-0.16297536,37.83169,-122.278076,0.118250154,0.04360867,0.07489914,-3.2914715,-10.594984,1490464734774,11.0944792846,0.0
15,-1.0361279,-0.006380005,-0.1139521,37.83169,-122.278076,0.019805808,-0.03598764,0.01476436,-3.287588,-10.573879,1490464734807,11.0731726242,0.0
16,-1.0608894,-0.12562862,-0.128071,37.83169,-122.278076,0.08631487,0.05655147,0.0029355763,-3.2837045,-10.552774,1490464734840,11.0518665545,0.0
17,-0.9574607,-0.07999878,-0.1763443,37.83169,-122.278076,-0.0030762756,0.060115747,-0.03341725,-3.2798212,-10.53167,1490464734874,11.0305620932,0.0
18,-1.0839263,-0.08653682,-0.16869766,37.83169,-122.278076,0.030693252,-0.03264705,0.023343848,-3.275938,-10.510566,1490464734907,11.0092582593,0.0
19,-0.98199993,-0.08486992,-0.118292674,37.83169,-122.278076,0.09457009,0.027250439,0.027983764,-3.2720547,-10.48946,1490464734940,10.9879530874,0.0
20,-1.0506479,-0.05153915,-0.11597262,37.83169,-122.278076,-0.021810187,0.033783175,0.022272192,-3.2681713,-10.468356,1490464734973,10.9666503997,0.0
21,-0.98754394,-0.110337645,-0.1484801,37.831596,-122.27811,0.02922523,0.018192636,-0.0053293626,-3.2634664,-10.446516,1490464735007,10.9444008279,0.0
22,-0.9102962,-0.09972102,-0.13907722,37.831596,-122.27811,0.040418476,0.005882505,-0.016759297,-3.2558208,-10.422043,1490464735040,10.918761348,0.0
23,-0.96616596,-0.063208774,-0.13675591,37.831596,-122.27811,0.036241144,-0.019982208,0.050061867,-3.2481751,-10.397569,1490464735073,10.8931208838,0.0
24,-0.99532676,-0.08111289,-0.11283984,37.831596,-122.27811,0.053555626,-0.06822127,0.025830196,-3.24053,-10.373095,1490464735107,10.8674805986,0.0
25,-1.0977073,0.0018269531,-0.09147939,37.831596,-122.27811,0.044659063,-0.021623008,0.04199916,-3.2328844,-10.348621,1490464735140,10.8418401642,0.0
26,-0.9524273,-0.013340771,-0.17216767,37.831596,-122.27811,-0.048110455,-0.028889652,-0.040237486,-3.225239,-10.324148,1490464735173,10.8162007439,0.0
27,-0.95474416,-0.15996248,-0.09312793,37.831596,-122.27811,0.07793264,0.056627907,-0.016653564,-3.2175932,-10.299674,1490464735207,10.7905602499,0.0
28,-0.94063,-0.04867627,-0.118095584,37.831596,-122.27811,0.0047685695,-0.024313396,0.0103088375,-3.209948,-10.275201,1490464735240,10.7649208893,0.0
29,-0.99862516,-0.052031737,-0.11025027,37.831596,-122.27811,0.020192271,-0.041962963,0.04566159,-3.2023025,-10.250727,1490464735273,10.7392804847,0.0
30,-1.0229341,-0.07766196,-0.12715195,37.831596,-122.27811,0.025931148,-0.013443994,0.02133041,-3.1946568,-10.2262535,1490464735306,10.7136404978,0.0
31,-1.0628059,-0.008591553,-0.11464697,37.831596,-122.27811,0.051950566,0.02300347,0.03313765,-3.1870115,-10.20178,1490464735340,10.6880006301,0.0
32,-1.0418992,-0.080515586,-0.15586558,37.831596,-122.27811,-0.036029033,0.051911958,0.020754429,-3.179366,-10.177306,1490464735373,10.6623602256,0.0
33,-0.9365395,-0.07154363,-0.18354778,37.831596,-122.27811,0.034642577,0.08772097,-0.0016919678,-3.1717207,-10.152834,1490464735406,10.6367217896,0.0
34,-0.90393645,-0.028883912,-0.15887617,37.831596,-122.27811,0.03204271,0.059616312,-0.0068169557,-3.1640751,-10.12836,1490464735440,10.6110813553,0.0
35,-1.052252,-0.072522156,-0.1557807,37.831596,-122.27811,0.025336528,-0.01620589,0.06862772,-3.1564298,-10.103886,1490464735473,10.5854410103,0.0
36,-1.0356584,-0.034858875,-0.16282918,37.831596,-122.27811,-0.01721261,0.0077317213,0.023381457,-3.1487842,-10.079412,1490464735506,10.559800576,0.0
