,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,timestamp
0,-0.976,0.046,-0.286,37.763264,-122.42239,0.0396,-0.0125,-0.0035,4.1382837,0.31162152,1490746340958
1,-1.0308002,0.03805001,-0.21341668,37.763264,-122.42239,-0.009636058,-0.032333326,0.011433374,4.126231,0.31071395,1490746341024
2,-0.9987501,0.04521686,-0.17666675,37.763264,-122.422386,-0.007670032,0.07223029,0.012123401,4.0936565,0.308261,1490746341091
3,-0.9477,0.0346,-0.1681,37.763264,-122.422386,-0.001295,-0.09362,-0.015185,4.0610824,0.30580807,1490746341158
4,-0.9999668,0.005333252,-0.15436643,37.763264,-122.42238,-0.008536424,0.06479997,0.015199976,4.0285077,0.30335516,1490746341224
5,-1.0225501,-3.3325196e-05,-0.14840014,37.763268,-122.42238,0.023608625,-0.06250169,-0.017810047,3.9959335,0.30090225,1490746341291
6,-0.9846,0.0114,-0.1518,37.763268,-122.42238,-0.01514,1e-04,0.00798,3.9633594,0.29844934,1490746341358
7,-1.0022,-0.010000122,-0.1375998,37.763268,-122.42237,-0.0044134767,0.0019600159,0.008600049,3.9307847,0.29599637,1490746341424
8,-0.9591335,-0.015066845,-0.123799704,37.763268,-122.42237,-0.029512899,0.0038268724,0.006313345,3.8982103,0.29354346,1490746341491
9,-0.9706,-0.0064,-0.1596,37.763268,-122.42237,-0.03322,-0.11168,0.00056,3.8656359,0.29109055,1490746341558
10,-1.0159334,-0.004866577,-0.14826678,37.763268,-122.42236,-0.10958076,0.05282677,0.027840052,3.8330612,0.2886376,1490746341624
11,-0.97426677,0.019866552,-0.17366633,37.763268,-122.42236,-0.084693685,-0.08794673,-0.013833368,3.800487,0.2861847,1490746341691
12,-0.97595,0.01285,-0.2107,37.763268,-122.42236,-0.053945,-0.041175,0.00981,3.7679124,0.28373176,1490746341758
13,-1.0023832,0.023450086,-0.20335026,37.763268,-122.422356,-0.04158807,-0.013449891,-0.0026749817,3.735338,0.28127885,1490746341824
14,-0.96976644,0.03263352,-0.2154669,37.763268,-122.422356,-0.030181883,0.027073272,0.013801673,3.7027636,0.2788259,1490746341891
15,-0.9975,0.00715,-0.1833,37.763268,-122.422356,-0.00761,-0.049885,-0.0071,3.6701891,0.276373,1490746341958
16,-0.9805834,0.010816614,-0.17051639,37.763268,-122.42235,-0.0008398828,-0.00028826782,0.0053500365,3.6331873,0.2735867,1490746342024
17,-1.0116668,-0.0015500855,-0.16839994,37.763268,-122.42235,-0.017391462,-0.01810667,0.007886734,3.5886467,0.27023268,1490746342091
18,-0.99385,-0.00545,-0.17295,37.763268,-122.42235,-0.034695,-0.00984,0.002885,3.5441062,0.26687866,1490746342158
